Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Niger,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.295,15.329,16.641,20.448,23.639,24.238,19.362,19.502,21.1,21.57,23.387,22.811,2019
Nigeria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,16.592,17.297,14.839,14.146,13.371,11.051,9.754,12.008,12.82,12.617,12.105,11.761,2019
Rwanda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.74,24.593,24.467,26.051,27.37,26.471,25.022,25.092,26.401,28.829,28.554,27.438,2019
SÆo Tom‚ and Pr¡ncipe,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,49.947,52.2,46.207,31.549,30.422,34.207,32.396,27.632,26.025,24.301,26.733,25.439,2019
Senegal,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.699,23.251,22.972,22.09,23.1,22.947,23.963,22.463,22.552,24.294,27.543,25.422,2019
Seychelles,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.576,36.336,38.601,37.792,33.791,32.357,37.739,35.354,38.215,37.087,52.388,52.001,2019
Sierra Leone,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.221,21.504,20.333,15.654,17.645,20.74,23.34,23.429,21.357,21.041,24.778,23.233,2019
South Africa,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.447,30.877,31.368,31.594,31.852,32.927,32.656,32.585,33.195,35.008,40.107,38.056,2020
South Sudan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,n/a,21.034,31.618,25.336,35.733,34.757,48.738,33.015,32.523,46.767,38.876,41.516,2019
Tanzania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.96,18.874,19.503,18.842,17.289,17.151,16.911,16.573,16.606,16.385,15.929,15.737,2019
Togo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,15.48,18.896,19.785,19.762,20.39,22.72,23.053,16.251,18.572,16.042,23.177,23.028,2019
Uganda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,15.424,13.174,13.118,13.303,13.565,15.237,15.974,15.475,16.233,18.385,21.153,19.667,2019
Zambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.066,19.527,21.526,23.837,24.694,28.308,24.332,25.062,27.861,30.222,33.986,28.413,2019
Zimbabwe,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.09,23.237,20.404,20.92,20.448,20.525,23.372,22.393,17.439,15.606,15.619,17.581,2018
,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2021",,,,,,,,,,,,,,,,,
