Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Mauritius,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,55.124,55.65,55.061,57.541,60.62,64.993,64.987,64.34,66.223,82.804,87.779,2020
Mozambique,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,27.396,29.377,28.79,32.223,40.707,32.686,29.405,29.978,32.606,30.016,30.833,2019
Mozambique,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,39.679,34.72,37.436,50.135,64.341,87.426,119.881,100.14,105.331,103.378,122.225,2019
Namibia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,32.725,36.763,34.197,36.939,40.943,42.817,40.864,37.576,36.33,37.791,41.231,2019
Namibia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,15.965,26.23,24.034,25.18,27.012,41.264,44.847,43.235,50.402,59.9,65.662,2019
Niger,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,14.295,15.329,16.641,20.448,23.639,24.238,19.362,19.502,21.1,21.57,23.387,2019
Niger,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,15.078,14.747,18.13,19.554,22.086,29.87,32.826,36.494,36.907,39.802,44.221,2019
Nigeria,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,16.592,17.297,14.839,14.146,13.371,11.051,9.754,12.008,12.82,12.617,12.105,2019
Nigeria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,9.393,17.431,17.577,18.289,17.541,20.328,23.41,25.34,27.685,29.167,35.054,2019
Rwanda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,23.74,24.593,24.467,26.051,27.37,26.471,25.022,25.092,26.401,28.829,28.554,2019
Rwanda,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,18.749,18.645,19.005,25.962,28.198,32.222,36.382,41.317,44.991,50.965,60.962,2019
SÆo Tom‚ and Pr¡ncipe,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,49.947,52.2,46.207,31.549,30.422,34.207,32.396,27.632,26.025,24.301,26.733,2019
SÆo Tom‚ and Pr¡ncipe,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,79.539,78.019,81.037,71.151,69.457,85.797,95.297,85.839,83.079,73.069,81.385,2019
Senegal,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,21.699,23.251,22.972,22.09,23.1,22.947,23.963,22.463,22.552,24.294,27.543,2019
Senegal,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,28.498,32.877,34.489,36.86,42.366,44.509,47.524,61.139,63.529,64.798,65.811,2019
Seychelles,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,34.576,36.336,38.601,37.792,33.791,32.357,37.739,35.354,38.215,37.087,52.388,2019
Seychelles,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,82.224,82.508,80.069,68.199,72.731,67.148,69.138,62.122,59.084,57.746,98.375,2019
Sierra Leone,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,20.221,21.504,20.333,15.654,17.645,20.74,23.34,23.429,21.357,21.041,24.778,2019
Sierra Leone,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,46.849,42.106,36.428,30.589,35.089,45.686,60.725,69.155,69.089,71.656,71.947,2019
South Africa,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,31.447,30.877,31.368,31.594,31.852,32.927,32.656,32.585,33.195,35.008,40.107,2020
South Africa,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,34.676,38.228,41.001,44.103,46.988,49.335,51.465,53.022,56.71,62.151,77.064,2020
South Sudan,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,n/a,21.034,31.618,25.336,35.733,34.757,48.738,33.015,32.523,46.767,38.876,2019
South Sudan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,0,8.906,17.587,37.632,59.272,104,60.7,46.3,35.467,44.881,2019
Tanzania,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,19.96,18.874,19.503,18.842,17.289,17.151,16.911,16.573,16.606,16.385,15.929,2019
Tanzania,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,27.156,27.783,29.231,31.402,34.552,37.137,37.024,37.671,38.699,38.242,38.182,2019
Togo,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,15.48,18.896,19.785,19.762,20.39,22.72,23.053,16.251,18.572,16.042,23.177,2019
Togo,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,34.321,35.09,35.579,42.418,46.536,53.446,60.302,57.034,57.334,53.571,57.6,2019
Uganda,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,15.424,13.174,13.118,13.303,13.565,15.237,15.974,15.475,16.233,18.385,21.153,2019
Uganda,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,18.355,17.959,19.491,22.08,24.768,28.672,31.037,33.654,34.883,37.254,45.744,2019
Zambia,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.066,19.527,21.526,23.837,24.694,28.308,24.332,25.062,27.861,30.222,33.986,2019
Zambia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,18.898,20.808,25.434,27.081,36.129,65.551,60.646,63.008,77.329,94.497,117.761,2019
Zimbabwe,General government total expenditure,Percent of GDP,,See notes for:  General government total expenditure (National currency).,18.09,23.237,20.404,20.92,20.448,20.525,23.372,22.393,17.439,15.606,15.619,2018
Zimbabwe,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,47.577,42.858,38.265,36.944,42.211,47.473,48.49,43.726,33.634,112.118,88.873,2018
,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2021",,,,,,,,,,,,,,,,
